kategorie,deutsch,kroatisch,lautschrift-hr,englisch,lautschrift-en
Artikel,ein/eine,,,a,[ə]
Adjektiv (100 allg.),fähig,sposoban,[sposoban],able,[ˈeɪbəl]
Partikel / Präposition,ungefähr,oko,[oko],about,[əˈbaʊt]
Substantiv (400 Dinge),Konto,račun,[ratʃun],account,[əˈkaʊnt]
Adjektiv (100 allg.),Säure,kiselina,[kiselina],acid,[ˈæsəd]
Partikel / Präposition,quer,poprijeko,[poprjeːko],across,[əˈkrɔs]
Substantiv (400 Dinge),handeln,djelovati,[djeloʋati],act,[ækt]
Substantiv (400 Dinge),Ergänzung,dodatak,[dodatak],addition,[əˈdɪʃən]
Substantiv (400 Dinge),Anpassung,prilagođavanje,[prilaɡodʑaʋaɲe],adjustment,[əˈdʒəstmənt]
Substantiv (400 Dinge),Werbung,reklama,[reklama],advertisement,[ˌædvərˈtaɪzmənt]
Partikel / Präposition,danach,poslije,[poslije],after,[ˈæftər]
Partikel / Präposition,wieder,ponovo,[ponoʋo],again,[əˈɡɛn]
Partikel / Präposition,dagegen,protiv,[protiʋ],against,[əˈɡɛnst]
Substantiv (400 Dinge),Vereinbarung,sporazum,[sporazum],agreement,[əˈɡrimənt]
Substantiv (400 Dinge),Luft,zraka,[zraka],air,[ɛr]
Partikel / Präposition,alle,sve,[sʋe],all,[ɔl]
Partikel / Präposition,fast,gotovo,[ɡotoʋo],almost,[ˈɔlˌmoʊst]
Partikel / Präposition,unter,među,[medʑu],among,[əˈməŋ]
Substantiv (400 Dinge),Menge,iznos,[iznos],amount,[əˈmaʊnt]
Substantiv (400 Dinge),Unterhaltung,zabava,[zabaʋa],amusement,[əmˈjuzmənt]
Partikel / Präposition,und,i,[i],and,[ənd]
Substantiv (400 Dinge),Wut,bijes,[bijeːs],anger,[ˈæŋɡər]
Substantiv (200 bildh.),Winkel,kut,[kut],angle,[ˈæŋɡəl]
Adjektiv (100 allg.),wütend,ljuta,[ʎuta],angry,[ˈæŋɡri]
Substantiv (400 Dinge),Tier,životinja,[ʒiʋotiɲa],animal,[ˈænəməl]
Substantiv (400 Dinge),Antwort,odgovoriti,[odɡoʋoriti],answer,[ˈænsər]
Substantiv (200 bildh.),Ameise,mrav,[mraʋ],ant,[ænt]
Partikel / Präposition,irgendein,bilo koji,[bilo koji],any,[ˈɛni]
Substantiv (400 Dinge),Apparat,aparata,[aparata],apparatus,[ˌæpərˈætəs]
Substantiv (200 bildh.),Apfel,jabuka,[jabuka],apple,[ˈæpəl]
Substantiv (400 Dinge),Zustimmung,odobrenje,[odobreɲe],approval,[əˈpruvəl]
Substantiv (200 bildh.),Bogen,arh,[arx],arch,[ɑrtʃ]
Substantiv (400 Dinge),Argument,argument,[arɡument],argument,[ˈɑrɡjəmənt]
Substantiv (200 bildh.),Arm,ruku,[ruku],arm,[ɑrm]
Substantiv (200 bildh.),Armee,vojska,[ʋojska],army,[ˈɑrmi]
Substantiv (400 Dinge),Kunst,umjetnost,[umjetnost],art,[ɑrt]
Substantiv (400 Dinge),Artikel,članak,[tʃlanak],article,[ˈɑrtɪkəl]
Partikel / Präposition,als,kao,[kao],as,[ɛz]
Partikel / Präposition,bei,na,[na],at,[æt]
Substantiv (400 Dinge),Angriff,napadnuti,[napadnuti],attack,[əˈtæk]
Substantiv (400 Dinge),Versuch,pokušaj,[pokuʃaj],attempt,[əˈtɛmpt]
Substantiv (400 Dinge),Aufmerksamkeit,pozornost,[pozornost],attention,[əˈtɛnʃən]
Substantiv (400 Dinge),Attraktion,privlačnost,[priʋlatʃnost],attraction,[əˈtrækʃən]
Substantiv (400 Dinge),Autorität,vlast,[ʋlast],authority,[əˈθɔrəti]
Adjektiv (100 allg.),automatisch,automatski,[automatski],automatic,[ˌɔtəˈmætɪk]
Adjektiv (50 Gegensätze),wach,budan,[budan],awake,[əˈweɪk]
Substantiv (200 bildh.),Baby,dijete,[djeːte],baby,[ˈbeɪbi]
Substantiv (400 Dinge),zurück,natrag,[natraɡ],back,[bæk]
Adjektiv (50 Gegensätze),schlecht,loše,[loʃe],bad,[bæd]
Substantiv (200 bildh.),Tasche,vrećica,[ʋretɕitsa],bag,[bæɡ]
Substantiv (400 Dinge),Gleichgewicht,ravnoteža,[raʋnoteʒa],balance,[ˈbæləns]
Substantiv (200 bildh.),Kugel,lopta,[lopta],ball,[bɔl]
Substantiv (200 bildh.),Band,bend,[bend],band,[bænd]
Substantiv (400 Dinge),Basis,bazu,[bazu],base,[beɪs]
Substantiv (200 bildh.),Becken,umivaonik,[umiʋaonik],basin,[ˈbeɪsən]
Substantiv (200 bildh.),Korb,košarica,[koʃaritsa],basket,[ˈbæskət]
Substantiv (200 bildh.),Bad,kupka,[kupka],bath,[bæθ]
Verb,sein,biti,[biti],be,[bi]
Adjektiv (100 allg.),schön,lijepa,[ljeːpa],beautiful,[ˈbjutəfəl]
Partikel / Präposition,weil,jer,[jer],because,[bɪˈkəz]
Substantiv (200 bildh.),Bett,krevet,[kreʋet],bed,[bɛd]
Substantiv (200 bildh.),Biene,pčela,[ptʃela],bee,[bi]
Substantiv (200 bildh.),Käfer,buba,[buba],beetle,[ˈbitəl]
Partikel / Präposition,vor,prije,[prije],before,[ˌbiˈfɔr]
Substantiv (400 Dinge),Verhalten,ponašanje,[ponaʃaɲe],behaviour,[bɪˈheɪvjər]
Substantiv (400 Dinge),Glaube,vjerovanje,[ʋjeroʋaɲe],belief,[bɪˈlif]
Substantiv (200 bildh.),Glocke,zvono,[zʋono],bell,[bɛl]
Adjektiv (50 Gegensätze),gebogen,savijena,[saʋijena],bent,[bɛnt]
Substantiv (200 bildh.),Beere,bobičasto voće,[bobitʃasto ʋotɕe],berry,[ˈbɛri]
Partikel / Präposition,dazwischen,između,[izmedʑu],between,[bɪtˈwin]
Substantiv (200 bildh.),Vogel,ptica,[ptitsa],bird,[bərd]
Substantiv (400 Dinge),Geburt,rođenje,[rodʑeɲe],birth,[bərθ]
Substantiv (400 Dinge),bisschen,malo,[malo],bit,[bɪt]
Substantiv (400 Dinge),beißen,zalogaj,[zaloɡaj],bite,[baɪt]
Adjektiv (50 Gegensätze),bitter,gorak,[ɡorak],bitter,[ˈbɪtər]
Adjektiv (100 allg.),schwarz,crna,[tsrna],black,[blæk]
Substantiv (200 bildh.),Klinge,oštrica,[oʃtritsa],blade,[bleɪd]
Substantiv (400 Dinge),Blut,krvi,[krʋi],blood,[bləd]
Substantiv (400 Dinge),Schlag,udarac,[udarats],blow,[bloʊ]
Adjektiv (50 Gegensätze),blau,plava,[plaʋa],blue,[blu]
Substantiv (200 bildh.),Brett,ploča,[plotʃa],board,[bɔrd]
Substantiv (200 bildh.),Boot,čamac,[tʃamats],boat,[boʊt]
Substantiv (400 Dinge),Körper,tijelo,[tjeːlo],body,[ˈbɑdi]
Verb,kochen,kuhati,[kuxati],boil,[bɔɪl]
Adjektiv (100 allg.),kochend,kipuće,[kiputɕe],boiling,[ˈbɔɪlɪŋ]
Substantiv (200 bildh.),Knochen,kost,[kost],bone,[boʊn]
Substantiv (200 bildh.),Buch,knjiga,[kɲiɡa],book,[bʊk]
Substantiv (200 bildh.),booten,čizma,[tʃizma],boot,[but]
Substantiv (200 bildh.),Flasche,boca,[botsa],bottle,[ˈbɑtəl]
Substantiv (200 bildh.),Box,okvir,[okʋir],box,[bɑks]
Substantiv (200 bildh.),Junge,dječak,[djetʃak],boy,[bɔɪ]
Substantiv (200 bildh.),Gehirn,mozak,[mozak],brain,[breɪn]
Substantiv (200 bildh.),Bremse,kočnica,[kotʃnitsa],brake,[breɪk]
Substantiv (200 bildh.),Zweig,ogranak,[oɡranak],branch,[bræntʃ]
Substantiv (400 Dinge),Messing,mjed,[mjed],brass,[bræs]
Substantiv (400 Dinge),Brot,kruh,[krux],bread,[brɛd]
Substantiv (400 Dinge),Atem,dah,[dax],breath,[brɛθ]
Substantiv (200 bildh.),Ziegelstein,opeka,[opeka],brick,[brɪk]
Substantiv (200 bildh.),Brücke,most,[most],bridge,[brɪdʒ]
Adjektiv (100 allg.),hell,svijetao,[sʋjeːtao],bright,[braɪt]
Adjektiv (100 allg.),kaputt,slomljena,[slomʎena],broken,[ˈbroʊkən]
Substantiv (400 Dinge),Bruder,brate,[brate],brother,[ˈbrəðər]
Adjektiv (100 allg.),braun,smeđa,[smedʑa],brown,[braʊn]
Substantiv (200 bildh.),Pinsel,kist,[kist],brush,[brəʃ]
Substantiv (200 bildh.),Eimer,kanta,[kanta],bucket,[ˈbəkɪt]
Substantiv (400 Dinge),Gebäude,zgrada,[zɡrada],building,[ˈbɪldɪŋ]
Substantiv (200 bildh.),Glühbirne,žarulja,[ʒaruʎa],bulb,[bəlb]
Substantiv (400 Dinge),brennen,spaliti,[spaliti],burn,[bərn]
Substantiv (400 Dinge),platzen,puknuti,[puknuti],burst,[bərst]
Substantiv (400 Dinge),Geschäft,poslovanje,[posloʋaɲe],business,[ˈbɪznɪs]
Partikel / Präposition,aber,ali,[ali],but,[bət]
Substantiv (400 Dinge),Butter,maslac,[maslats],butter,[ˈbətər]
Substantiv (200 bildh.),Taste,dugme,[duɡme],button,[ˈbətən]
Partikel / Präposition,von,po,[po],by,[baɪ]
Substantiv (200 bildh.),Kuchen,kolač,[kolatʃ],cake,[keɪk]
Substantiv (200 bildh.),Kamera,fotoaparat,[fotoaparat],camera,[ˈkæmərə]
Substantiv (400 Dinge),Leinwand,platno,[platno],canvas,[ˈkænvəs]
Substantiv (200 bildh.),Karte,kartica,[kartitsa],card,[kɑrd]
Substantiv (400 Dinge),Pflege,briga,[briɡa],care,[kɛr]
Substantiv (200 bildh.),Kutsche,kočija,[kotʃija],carriage,[ˈkɛrədʒ]
Substantiv (200 bildh.),Warenkorb,kolica,[kolitsa],cart,[kɑrt]
Substantiv (200 bildh.),Katze,mačka,[matʃka],cat,[kæt]
Substantiv (200 bildh.),Rinder,goveda,[ɡoʋeda],cattle,[ˈkætəl]
Substantiv (400 Dinge),Ursache,uzrokovati,[uzrokoʋati],cause,[kɔz]
Adjektiv (50 Gegensätze),sicher,određeni,[odredʑeni],certain,[ˈsərtən]
Substantiv (200 bildh.),Kette,lanac,[lanats],chain,[tʃeɪn]
Substantiv (400 Dinge),Kreide,kreda,[kreda],chalk,[tʃɔk]
Substantiv (400 Dinge),Chance,prilika,[prilika],chance,[tʃæns]
Substantiv (400 Dinge),ändern,promjena,[promjena],change,[tʃeɪndʒ]
Adjektiv (100 allg.),billig,jeftino,[jeftino],cheap,[tʃip]
Substantiv (200 bildh.),Käse,sir,[sir],cheese,[tʃiz]
Adjektiv (100 allg.),chemisch,kemijski,[kemijski],chemical,[ˈkɛmɪkəl]
Substantiv (200 bildh.),Brust,prsa,[prsa],chest,[tʃɛst]
Adjektiv (100 allg.),Chef,načelnik,[natʃelnik],chief,[tʃif]
Substantiv (400 Dinge),Kind,dijete,[djeːte],child,[tʃaɪld]
Substantiv (200 bildh.),Kinn,brada,[brada],chin,[tʃɪn]
Substantiv (200 bildh.),Kirche,crkva,[tsrkʋa],church,[tʃərtʃ]
Substantiv (200 bildh.),Kreis,krug,[kruɡ],circle,[ˈsərkəl]
Adjektiv (100 allg.),sauber,čistim,[tʃistim],clean,[klin]
Adjektiv (100 allg.),klar,jasno,[jasno],clear,[klɪr]
Substantiv (200 bildh.),Uhr,sat,[sat],clock,[klɑk]
Substantiv (400 Dinge),Stoff,tkanina,[tkanina],cloth,[klɔθ]
Substantiv (200 bildh.),Wolke,oblak,[oblak],cloud,[klaʊd]
Substantiv (400 Dinge),Kohle,ugljen,[uɡʎen],coal,[koʊl]
Substantiv (200 bildh.),Mantel,kaput,[kaput],coat,[koʊt]
Adjektiv (50 Gegensätze),kalt,hladna,[xladna],cold,[koʊld]
Substantiv (200 bildh.),Kragen,ovratnik,[oʋratnik],collar,[ˈkɑlər]
Substantiv (400 Dinge),Farbe,boja,[boja],colour,[ˈkələr]
Substantiv (200 bildh.),Kamm,češalj,[tʃeʃaʎ],comb,[koʊm]
Substantiv (400 Dinge),Komfort,udobnost,[udobnost],comfort,[ˈkəmfərt]
Substantiv (400 Dinge),Ausschuss,odbor,[odbor],committee,[kəˈmɪti]
Adjektiv (100 allg.),häufig,zajednički,[zajednitʃki],common,[ˈkɑmən]
Substantiv (400 Dinge),Unternehmen,tvrtka,[tʋrtka],company,[ˈkəmpəˌni]
Substantiv (400 Dinge),Vergleich,usporedba,[usporedba],comparison,[kəmˈpɛrəsən]
Substantiv (400 Dinge),Wettbewerb,natjecanje,[natjetsaɲe],competition,[ˌkɑmpəˈtɪʃən]
Adjektiv (50 Gegensätze),abgeschlossen,potpuna,[potpuna],complete,[kəmˈplit]
Adjektiv (100 allg.),komplex,složena,[sloʒena],complex,[ˈkɑmplɛks]
Substantiv (400 Dinge),Zustand,stanje,[staɲe],condition,[kənˈdɪʃən]
Substantiv (400 Dinge),Verbindung,veza,[ʋeza],connection,[kəˈnɛkʃən]
Adjektiv (100 allg.),bewusst,svjestan,[sʋjestan],conscious,[ˈkɑnʃəs]
Substantiv (400 Dinge),Kontrolle,kontrola,[kontrola],control,[kənˈtroʊl]
Substantiv (400 Dinge),kochen,kuhati,[kuxati],cook,[kʊk]
Substantiv (400 Dinge),Kochen,kuhanje,[kuxaɲe],cooking,[ˈkʊkɪŋ]
Substantiv (400 Dinge),Kupfer,bakar,[bakar],copper,[ˈkɑpər]
Substantiv (400 Dinge),kopieren,kopija,[kopija],copy,[ˈkɑpi]
Substantiv (200 bildh.),Schnur,kabel,[kabel],cord,[kɔrd]
Substantiv (400 Dinge),Kork,pluto,[pluto],cork,[kɔrk]
Substantiv (400 Dinge),Baumwolle,pamuk,[pamuk],cotton,[ˈkɔtən]
Substantiv (400 Dinge),Husten,kašalj,[kaʃaʎ],cough,[kɔf]
Substantiv (400 Dinge),Land,zemlja,[zemʎa],country,[ˈkəntri]
Substantiv (400 Dinge),Abdeckung,poklopac,[poklopats],cover,[ˈkəvər]
Substantiv (200 bildh.),Kuh,krava,[kraʋa],cow,[kaʊ]
Substantiv (400 Dinge),knacken,ispucati,[isputsati],crack,[kræk]
Substantiv (400 Dinge),Kredit,kredit,[kredit],credit,[ˈkrɛdɪt]
Substantiv (400 Dinge),Kreditbank,kreditna banka,[kreditna banka],credit bank,[ˈkrɛdɪt bæŋk]
Substantiv (400 Dinge),Verbrechen,zločin,[zlotʃin],crime,[kraɪm]
Adjektiv (50 Gegensätze),grausam,okrutan,[okrutan],cruel,[kruəl]
Substantiv (400 Dinge),zerquetschen,zdrobiti,[zdrobiti],crush,[krəʃ]
Substantiv (400 Dinge),Weinen,plakati,[plakati],cry,[kraɪ]
Substantiv (200 bildh.),Tasse,šalica,[ʃalitsa],cup,[kəp]
Substantiv (400 Dinge),aktuell,trenutni,[trenutni],current,[ˈkɑrənt]
Substantiv (200 bildh.),Vorhang,zastor,[zastor],curtain,[ˈkərtən]
Substantiv (400 Dinge),Kurve,krivulja,[kriʋuʎa],curve,[kərv]
Substantiv (200 bildh.),Kissen,jastuk,[jastuk],cushion,[ˈkʊʃən]
Adjektiv (100 allg.),schneiden,rezati,[rezati],cut,[kət]
Substantiv (400 Dinge),Schaden,oštećenje,[oʃtetɕeɲe],damage,[ˈdæmɪdʒ]
Substantiv (400 Dinge),Gefahr,opasnost,[opasnost],danger,[ˈdeɪndʒər]
Adjektiv (50 Gegensätze),dunkel,mračno,[mratʃno],dark,[dɑrk]
Substantiv (400 Dinge),Tochter,kći,[ktɕi],daughter,[ˈdɔtər]
Substantiv (400 Dinge),Tag,dan,[dan],day,[deɪ]
Adjektiv (50 Gegensätze),tot,mrtav,[mrtaʋ],dead,[dɛd]
Adjektiv (50 Gegensätze),Liebling,draga,[draɡa],dear,[dɪr]
Substantiv (400 Dinge),Tod,smrti,[smrti],death,[dɛθ]
Substantiv (400 Dinge),Schulden,duga,[duɡa],debt,[dɛt]
Substantiv (400 Dinge),Entscheidung,odluka,[odluka],decision,[dɪˈsɪʒən]
Adjektiv (100 allg.),tief,duboko,[duboko],deep,[dip]
Substantiv (400 Dinge),Abschluss,stupanj,[stupaɲ],degree,[dɪˈɡri]
Adjektiv (50 Gegensätze),zart,delikatan,[delikatan],delicate,[ˈdɛləkət]
Adjektiv (100 allg.),abhängig,ovisan,[oʋisan],dependent,[dɪˈpɛndənt]
Substantiv (400 Dinge),Design,dizajn,[dizajn],design,[dɪˈzaɪn]
Substantiv (400 Dinge),Wunsch,želja,[ʒeʎa],desire,[dɪˈzaɪər]
Substantiv (400 Dinge),Zerstörung,uništenje,[uniʃteɲe],destruction,[dɪˈstrəkʃən]
Substantiv (400 Dinge),Detail,detalj,[detaʎ],detail,[ˈditeɪl]
Substantiv (400 Dinge),Entwicklung,razvoju,[razʋoju],development,[dɪˈvɛləpmənt]
Substantiv (400 Dinge),Unterschied,razlika,[razlika],difference,[ˈdɪfərəns]
Adjektiv (50 Gegensätze),anders,drugačiji,[druɡatʃiji],different,[ˈdɪfərənt]
Substantiv (400 Dinge),Verdauung,probava,[probaʋa],digestion,[daɪˈdʒɛstʃən]
Substantiv (400 Dinge),Richtung,pravac,[praʋats],direction,[dɪˈrɛkʃɪn]
Adjektiv (50 Gegensätze),schmutzig,prljavi,[prʎaʋi],dirty,[ˈdərti]
Substantiv (400 Dinge),Entdeckung,otkriće,[otkritɕe],discovery,[ˌdɪˈskəvri]
Substantiv (400 Dinge),Diskussion,rasprava,[raspraʋa],discussion,[dɪˈskəʃən]
Substantiv (400 Dinge),Krankheit,bolesti,[bolesti],disease,[dɪˈziz]
Substantiv (400 Dinge),Ekel,gađenje,[ɡadʑeɲe],disgust,[dɪsˈɡəst]
Substantiv (400 Dinge),Entfernung,udaljenost,[udaʎenost],distance,[ˈdɪstəns]
Substantiv (400 Dinge),Verteilung,raspodjela,[raspodjela],distribution,[ˌdɪstrəˈbjuʃən]
Substantiv (400 Dinge),Abteilung,podjela,[podjela],division,[dɪˈvɪʒən]
Verb,tun,učiniti,[utʃiniti],do,[du]
Substantiv (200 bildh.),Hund,pas,[pas],dog,[dɔɡ]
Substantiv (400 Dinge),Hausangestellter,domaći radnik,[domatɕi radnik],domestic worker,[dəˈmɛstɪk ˈwərkər]
Substantiv (200 bildh.),Tür,vrata,[ʋrata],door,[dɔr]
Substantiv (400 Dinge),Zweifel,sumnja,[sumɲa],doubt,[daʊt]
Partikel / Präposition,unten,dolje,[doʎe],down,[daʊn]
Substantiv (200 bildh.),abtropfen lassen,odvoditi,[odʋoditi],drain,[dreɪn]
Substantiv (200 bildh.),Schublade,ladica,[laditsa],drawer,[drɔr]
Substantiv (200 bildh.),Kleid,haljina,[xaʎina],dress,[drɛs]
Substantiv (400 Dinge),trinken,piće,[pitɕe],drink,[drɪŋk]
Substantiv (400 Dinge),fahren,vožnja,[ʋoʒɲa],driving,[ˈdraɪvɪŋ]
Substantiv (200 bildh.),fallen lassen,ispustiti,[ispustiti],drop,[drɔp]
Adjektiv (50 Gegensätze),trocken,suha,[suxa],dry,[draɪ]
Substantiv (400 Dinge),Staub,prašina,[praʃina],dust,[dəst]
Substantiv (200 bildh.),Ohr,uho,[uxo],ear,[ɪr]
Adjektiv (100 allg.),früh,rano,[rano],early,[ˈərli]
Substantiv (400 Dinge),Erde,zemlja,[zemʎa],earth,[ərθ]
Substantiv (200 bildh.),Regenwurm,kišna glista,[kiʃna ɡlista],earthworm,[ˈərθˌwərm]
Partikel / Präposition,Osten,istok,[istok],east,[ist]
Substantiv (400 Dinge),Kante,rub,[rub],edge,[ɛdʒ]
Substantiv (400 Dinge),Bildung,obrazovanje,[obrazoʋaɲe],education,[ˌɛdʒəˈkeɪʃən]
Substantiv (400 Dinge),Wirkung,učinak,[utʃinak],effect,[ˈifɛkt]
Substantiv (200 bildh.),Ei,jaje,[jaje],egg,[ɛɡ]
Adjektiv (100 allg.),elastisch,elastična,[elastitʃna],elastic,[ɪˈlæstɪk]
Substantiv (400 Dinge),Elastizität,elastičnost,[elastitʃnost],elasticity,[ˌiˌlæˈstɪsəti]
Adjektiv (100 allg.),elektrisch,električni,[elektritʃni],electric,[ɪˈlɛktrɪk]
Substantiv (400 Dinge),Strom,struja,[struja],electricity,[ɪˌlɛkˈtrɪsəti]
Substantiv (400 Dinge),Ende,kraj,[kraj],end,[ɛnd]
Substantiv (200 bildh.),Motor,motor,[motor],engine,[ˈɪndʒən]
Partikel / Präposition,genug,dovoljno,[doʋoʎno],enough,[ɪˈnəf]
Adjektiv (100 allg.),gleich,jednaka,[jednaka],equal,[ˈikwəl]
Substantiv (400 Dinge),Fehler,greška,[ɡreʃka],error,[ˈɛrər]
Partikel / Präposition,sogar,čak i,[tʃak i],even,[ˈivɪn]
Substantiv (400 Dinge),Ereignis,događaj,[doɡadʑaj],event,[ɪˈvɛnt]
Partikel / Präposition,jemals,ikada,[ikada],ever,[ˈɛvər]
Partikel / Präposition,jeder,svaki,[sʋaki],every,[ˈɛvəri]
Substantiv (400 Dinge),Beispiel,primjer,[primjer],example,[ɪɡˈzæmpəl]
Substantiv (400 Dinge),Austausch,razmjena,[razmjena],exchange,[ɪksˈtʃeɪndʒ]
Substantiv (400 Dinge),Existenz,postojanje,[postojaɲe],existence,[ɪɡˈzɪstəns]
Substantiv (400 Dinge),Erweiterung,proširenje,[proʃireɲe],expansion,[ɪkˈspæntʃən]
Substantiv (400 Dinge),Erfahrung,iskustvo,[iskustʋo],experience,[ɪkˈspɪriəns]
Substantiv (400 Dinge),Experte,stručnjak,[strutʃɲak],expert,[ˈɛkspərt]
Substantiv (200 bildh.),Auge,oko,[oko],eye,[aɪ]
Substantiv (200 bildh.),Gesicht,lice,[litse],face,[feɪs]
